status,product_area,response,justification,request_type
escalated,account_management,"Hello, thank you for reaching out. I understand that you have lost access to your Claude team workspace after your IT admin removed your seat. I have escalated your ticket to a human specialist who will review your request and provide further guidance. A specialist will follow up with you shortly.","The user is requesting access restoration for a team workspace, which requires administrative privileges. Since the user is not an admin, the request must be escalated to a specialist to handle the account access issue and verify organization policies.",product_issue
replied,screen,"I understand you have concerns regarding your test score and the recruiter's decision. Please note that HackerRank Support cannot review your answers, increase your score, or influence a company's hiring process. For any inquiries regarding the content of your test or to dispute your results, please reach out to your recruiter or hiring team directly, as they have the tools to evaluate your performance and manage your application.","According to the documentation, when candidates contact HackerRank Support about the content of a custom test, they are directed to reach out to their recruiter or hiring team directly. Additionally, the documentation specifies that recruiters use Detailed Test reports to evaluate answers and change scores, and that Support only investigates deeper issues when escalated by the recruiter.",invalid
escalated,billing,I am sorry to hear that you received the wrong product and are having trouble contacting the merchant. I have escalated your ticket to a specialist who can further assist you with your request for a refund and reporting the seller. A human specialist will follow up with you shortly to guide you through the next steps.,"The user is requesting a refund and a merchant ban due to a dispute over a wrong product. Since the request involves financial reversal and merchant sanctions, it requires escalation to a specialist for proper handling.",product_issue
escalated,billing,"I'm sorry to hear that your mock interview was interrupted. I have escalated your request for a refund to our billing and technical specialists, as refunds are applicable for system-related issues or service disruptions. A specialist will review the disruption and follow up with you shortly. In the meantime, if you have your interview link handy, please feel free to share it or send it to support@hackerrank.com to help speed up the investigation.","The user experienced a technical failure during a paid mock interview and is requesting a refund. Per documentation, refunds are granted for system-related issues, but this requires specialist verification and processing.",bug
escalated,billing,"Hello, thank you for reaching out. I understand you are experiencing an issue with your payment for order ID cs_live_abcdefgh. I have escalated your ticket to our billing specialists who will investigate this for you. A human specialist will follow up with you shortly. For further assistance, you can also contact us at support@hackerrank.com.","The user is reporting a payment issue and requesting a refund, which requires a human specialist to verify eligibility and process the request according to company policy.",product_issue
escalated,security,"Hello, thank you for reaching out. I understand that you need assistance with your company's infosec process and require some forms to be completed. I have escalated your request to our security and account specialists who are best equipped to handle these documents. A human specialist will follow up with you shortly to assist with the process.","The user is requesting assistance with infosec forms, which is a specialized legal/security task that cannot be handled by a support agent and requires escalation to the account or security team.",product_issue
replied,community,"The Apply tab (along with the Home tab) has been deprecated as part of a platform update to simplify the user experience. If you are looking to practice, you can find features such as Mock Interviews under the Prepare tab. Regarding your submissions, if you are not seeing your results, please wait for the system to process the evaluation, check the leaderboard for updates, and ensure you are logged into the correct HackerRank Community account. If the issue persists, you can contact support at help@hackerrank.com.",The documentation explicitly states that the Apply and Home tabs have been deprecated. It also directs users to the Prepare tab for practice features (like Mock Interviews) and provides troubleshooting steps for missing challenge results.,product_issue
escalated,general_support,"Hello, I'm sorry to hear that you're experiencing issues with your submissions across all challenges on our website. I have escalated your ticket to our technical specialists for a deeper investigation. A member of our team will follow up with you shortly to resolve this. In the meantime, you can also reach out to us at support@hackerrank.com for any urgent updates.","The user is reporting a systemic failure of submissions across all challenges, which indicates a potential platform-wide bug or account-level technical issue that cannot be resolved through standard troubleshooting. Therefore, it requires escalation to a human specialist.",bug
replied,integrations,"I am sorry to hear you are experiencing issues with the Zoom connectivity check. To resolve this, please try the following troubleshooting steps:

1. **Check Network Restrictions**: Ensure that your network or firewall is not blocking the following domains:
   - `*.zoom.us`
   - `*.*.zoom.us`
   - `zoom.us`
   If you are on a corporate or university network, you may need to contact your IT administrator to allow these URLs.

2. **Update Your Browser**: This feature is supported on the latest versions of Google Chrome, Microsoft Edge, and Mozilla Firefox. Please ensure you are using the most up-to-date version of one of these browsers for the best performance.

3. **Zoom Software**: Please note that no Zoom account or separate software installation is required, as calls connect automatically through the browser when the interview starts.

If the issue persists, you can contact support at support@hackerrank.com for further assistance.","The response is based on the provided documentation regarding Zoom-powered calls in HackerRank Interviews, specifically addressing network prerequisites (safelisting domains) and browser compatibility requirements.",product_issue
replied,screen,"Hello, thank you for reaching out. Please contact the recruiting team at the company that invited you to the assessment, as they are the only ones who can reschedule your session or reinvite you to the test. 

Depending on the type of assessment, the company's recruiter can:
- For Tests: Reinvite you to retake the test at any time if you experienced an issue.
- For Interviews: Reschedule the interview to a different time, which will automatically send you an updated notification.

HackerRank does not reschedule assessments or interviews on behalf of candidates.","The documentation states that recruiters can reinvite candidates to tests or reschedule interviews. Since the candidate is requesting a reschedule, they must be contacted by the company that issued the invite, as HackerRank support cannot perform these actions.",product_issue
